DateTime,mean,sum,max
2024-07-25 16:20:00,10.05448028673835,11220.8,90.0
2024-07-25 18:50:00,9.977096483318306,11064.6,72.0
2024-07-25 00:50:00,9.971152154793316,11337.2,105.5
2024-07-25 16:40:00,9.945878136200717,11099.6,73.5
2024-07-25 00:30:00,9.890748898678414,11226.0,118.0
2024-07-25 19:20:00,9.859513074842202,10934.2,84.0
2024-07-25 19:00:00,9.814427412082958,10884.2,69.0
2024-07-25 00:40:00,9.71811785400176,11049.5,117.0
2024-07-25 19:10:00,9.712082957619478,10770.7,69.5
2024-07-25 19:30:00,9.685662759242561,10741.4,82.5
2024-07-25 18:40:00,9.68055805580558,10755.1,72.0
2024-07-25 19:40:00,9.61487826871055,10662.9,81.5
2024-07-25 19:50:00,9.552750225428314,10594.0,76.5
2024-07-25 20:00:00,9.54977416440831,10571.6,77.0
2024-07-25 18:20:00,9.545323741007193,10614.4,76.0
2024-07-25 18:30:00,9.51294964028777,10578.4,75.0
2024-07-25 16:50:00,9.488620071684586,10589.3,69.5
2024-07-25 00:00:00,9.364254192409533,10609.7,78.5
2024-07-25 00:20:00,9.345438441098317,10551.0,109.0
2024-07-25 00:10:00,9.289557522123895,10497.2,93.5
2024-07-25 18:10:00,9.181744604316547,10210.1,76.0
2024-07-25 20:10:00,9.146341463414634,10125.0,72.5
2024-07-25 17:50:00,9.103593890386342,10132.3,79.5
2024-07-25 17:00:00,9.099730458221025,10128.0,59.0
2024-07-25 18:00:00,9.086780575539569,10104.5,80.0
2024-07-25 17:10:00,9.04618149146451,10068.4,58.5
2024-07-25 17:20:00,8.925606469002696,9934.2,64.0
2024-07-25 17:40:00,8.869002695417791,9871.2,84.5
2024-07-25 17:30:00,8.73872416891285,9726.2,70.5
2024-07-25 20:20:00,8.678158844765342,9615.4,70.5
2024-07-25 20:30:00,8.677998196573489,9623.9,71.5
2024-07-25 20:40:00,8.1917042380523,9084.6,61.5
2024-07-25 20:50:00,7.833633904418395,8687.5,69.0
2024-07-25 21:00:00,7.755996393146979,8601.4,70.5
2024-07-25 21:10:00,7.496844003606853,8314.0,76.5
2024-07-25 21:20:00,7.120234869015357,7882.1,76.5
2024-07-25 21:30:00,7.059981933152664,7815.4,69.5
2024-07-25 21:40:00,6.841011743450768,7573.0,72.0
2024-07-25 21:50:00,6.4159132007233275,7096.0,78.0
2024-07-25 22:00:00,6.055656108597285,6691.5,84.5
2024-07-25 22:10:00,5.58552036199095,6172.0,79.5
