file,DateTime,mean,std,max,wet_ratio,cv,peak_ratio,score_mean,score_wet,score_cv,score_peak,meiyu_score
rain_20240521.csv,2024-05-21 18:10:00,3.0563492063492066,6.0838441073412595,38.0,0.35537918871252205,1.99055922494157,12.433134250843935,0.9567978258626934,0.8967614064547956,0.99948315447622,1.0,0.9559644005904908
rain_20240521.csv,2024-05-21 17:40:00,3.1063223508459483,7.283173848764499,59.0,0.37934105075690117,2.34462912285361,18.993521385162254,0.9800498084823637,1.0,0.8613579050660896,0.9200630076260472,0.9502991250831365
rain_20240521.csv,2024-05-21 18:00:00,2.9875880281690144,6.2227474555318345,50.0,0.3714788732394366,2.082866645889438,16.735908541795574,0.9248039672401259,0.9661261655040633,0.9634733563656853,0.9475715642018463,0.9494880239367631
rain_20240521.csv,2024-05-21 17:50:00,2.978163992869875,6.692541484629272,59.0,0.3778966131907308,2.24720381438098,19.810863384707467,0.9204190619637123,0.9937767063962266,0.8993642284248292,0.9101038604222524,0.9361523482773979
rain_20240521.csv,2024-05-21 18:20:00,2.965842894969109,5.899756547055041,46.0,0.35481023830538394,1.9892343444970273,15.509924709103352,0.9146861836922129,0.8943101094845884,1.0,0.9625099296180957,0.9352008738766594
rain_20240521.csv,2024-05-21 17:30:00,3.1491992882562276,7.808999379461069,69.5,0.3683274021352313,2.4796777417617997,22.06910190129107,1.0,0.9525481954867945,0.8086744539193291,0.8825876801446587,0.9240168854588359
rain_20240521.csv,2024-05-21 18:30:00,2.8596289752650175,5.808086457451559,51.0,0.3542402826855124,2.031062948267018,17.83448148033734,0.8652659552915841,0.8918544816010063,0.9836823566129792,0.9341856748004324,0.9107097373504595
rain_20240521.csv,2024-05-21 17:20:00,2.9915555555555557,7.664690600976604,75.5,0.36444444444444446,2.562108728598627,25.23770613578963,0.9266500163283705,0.9358186487574992,0.7765175247844257,0.8439788774408981,0.8828398799708256
rain_20240521.csv,2024-05-21 18:40:00,2.7112290008841735,5.659133692707477,47.0,0.3421750663129973,2.0872946146791533,17.33531176624054,0.7962169958992471,0.8398720452273183,0.961745973447605,0.9402679569603266,0.871229498419556
rain_20240521.csv,2024-05-21 17:10:00,2.8095026642984013,7.273995589861615,69.0,0.34547069271758435,2.5890687637692995,24.55950687529635,0.8419427059119109,0.8540711018043848,0.7660002184445908,0.8522425984689567,0.8324527056975983
rain_20240521.csv,2024-05-21 17:00:00,2.72158081705151,7.06685317905726,69.5,0.3428063943161634,2.5965986880791236,25.53662914015337,0.8010335879314059,0.8425920932349337,0.7630627400555292,0.8403365609996586,0.8137675645609395
rain_20240521.csv,2024-05-21 18:50:00,2.4763297872340426,5.388834459152068,41.5,0.32358156028368795,2.1761376400399284,16.75867253785845,0.6869208431721919,0.7597627695798332,0.9270876613214605,0.947294189506966,0.8088814539912929
rain_20240521.csv,2024-05-21 16:50:00,2.411790780141844,6.3117384186674315,51.0,0.33687943262411346,2.617033977672069,21.146112846903144,0.656891516694719,0.8170560481667218,0.7550907845505881,0.8938341153764898,0.7719692494438479
rain_20240521.csv,2024-05-21 16:40:00,2.1158267020335986,5.64685884191917,42.5,0.33421750663129973,2.668866422988124,20.086711241119932,0.5191825198020305,0.8055872610119282,0.73487056961835,0.906742709998817,0.7257535901676211
rain_20240521.csv,2024-05-21 19:00:00,2.1018617021276595,4.872919763243708,40.0,0.29343971631205673,2.3183826787038266,19.030747817284574,0.5126847510831185,0.6298980047828855,0.8715968343444506,0.919609411068444,0.7010160758423801
rain_20240521.csv,2024-05-21 19:10:00,1.8447695035460994,4.4995148254738755,35.5,0.2828014184397163,2.439066136351834,19.24359652073622,0.3930624340712074,0.5840633819133744,0.8245173373705252,0.9170158926012769,0.6414443907897349
rain_20240521.csv,2024-05-21 16:30:00,1.7758620689655173,5.05285611291004,57.5,0.3129973474801061,2.8452976169784687,32.37864077669903,0.3610005238718556,0.7141611697708878,0.6660434741285844,0.7569680309395987,0.6071508091064597
rain_20240521.csv,2024-05-21 19:20:00,1.5629432624113475,4.024330509540273,31.5,0.27393617021276595,2.574841074737055,20.15428247305729,0.26193162518125374,0.5458678628554486,0.7715505436987211,0.9059193681835422,0.5778338287874634
rain_20240521.csv,2024-05-21 16:20:00,1.6375661375661377,4.9023599413239785,61.0,0.30335097001763667,2.993686684685725,37.25040387722132,0.2966528702340269,0.6726001909042596,0.6081558166133068,0.6976065814030354,0.5519283979447545
rain_20240523.csv,2024-05-23 17:50:00,1.1116299559471365,2.9389356200835755,25.0,0.2845814977973568,2.6438075047910425,22.48949829594991,0.05194025354331311,0.5917327729206884,0.7446462363619255,0.8774652349739938,0.5175242022063843
rain_20240521.csv,2024-05-21 16:10:00,1.5249559082892417,4.785448278178378,59.0,0.2980599647266314,3.138089601257318,38.68964320823454,0.2442565057404097,0.649804135085561,0.5518231857270839,0.6800697408062876,0.5145967775544655
rain_20240521.csv,2024-05-21 19:30:00,1.3266843971631206,3.516328598728688,26.5,0.25177304964539005,2.650463521126602,19.97460741730705,0.15200284075479056,0.4503790652106341,0.7420496758470425,0.9081086724528229,0.5107462414496005
rain_20240523.csv,2024-05-23 17:40:00,1.203259911894273,3.2610547219815817,25.5,0.26784140969162995,2.7101831364495097,21.19242879109614,0.09457471580459616,0.519608864158621,0.7187526183739362,0.8932697649499151,0.5066595506537354
rain_20240523.csv,2024-05-23 18:00:00,1.0283700440528636,2.780510795919892,31.0,0.2889867841409692,2.7038037640242263,30.14479095270733,0.013200285430897327,0.6107127489107063,0.7212412580818542,0.7841870399232103,0.488259569903494
rain_20240523.csv,2024-05-23 17:30:00,1.2149029982363315,3.4975742620761743,27.5,0.25132275132275134,2.8788917857257617,22.635552006968137,0.0999921223734887,0.44843897535372373,0.6529381438977198,0.8756856000005061,0.4702540780978089
rain_20240521.csv,2024-05-21 19:40:00,1.1325354609929077,3.106785650714697,27.0,0.24911347517730498,2.7432126919813533,23.840313111545992,0.061667366873381736,0.43892040949325656,0.705867547876147,0.8610058292404408,0.4635510083333091
rain_20240521.csv,2024-05-21 16:00:00,1.3945326278659613,4.526712527196432,60.5,0.2865961199294533,3.246042750626504,43.38371063614518,0.18357191444357351,0.6004126808117143,0.5097098748549684,0.6228734771551939,0.4617120489786188
rain_20240521.csv,2024-05-21 15:40:00,1.3309523809523809,4.229971609350616,63.0,0.26631393298059963,3.178153981980785,47.334525939177105,0.15398868907168778,0.5130278001733696,0.536193778617005,0.5747335905473931,0.4222904206063969
rain_20240521.csv,2024-05-21 15:50:00,1.3380070546737213,4.478597913708872,64.5,0.2671957671957672,3.3472154709983926,48.20602385816912,0.15727115513236856,0.5168271428098195,0.4702416587844227,0.5641145644018242,0.40910073401990577
rain_20240523.csv,2024-05-23 17:20:00,1.2422398589065256,3.9995969248323404,42.5,0.23544973544973544,3.2196655872505673,34.21239440619011,0.11271167835862679,0.3800508078976279,0.5199997986567884,0.734624113287311,0.39875352826569627
rain_20240524.csv,2024-05-24 16:30:00,1.0,3.4832976726166165,36.0,0.2691292875989446,3.4832976726166165,36.0,0.0,0.5251576275878928,0.4171549994845509,0.7128425001302903,0.3835467881993361
rain_20240523.csv,2024-05-23 17:10:00,1.240704845814978,4.28903686685702,47.5,0.22378854625550662,3.45693569371021,38.284689674762106,0.11199745278637056,0.32980910425844345,0.4274389997140666,0.6850040178320526,0.355030570622668
rain_20240521.csv,2024-05-21 15:30:00,1.1731040564373898,3.993000238360785,57.5,0.24691358024691357,3.403790325716854,49.01525971585357,0.08054351096395503,0.42944226217147485,0.44817139535787553,0.554254188899583,0.3534808487921207
rain_20240523.csv,2024-05-23 17:00:00,1.2389964788732395,4.607536677482755,53.0,0.20774647887323944,3.718764948931019,42.77655417406749,0.11120256747672361,0.2606925860581745,0.3252974977295422,0.6302715560315169,0.3026823568126812
rain_20240521.csv,2024-05-21 15:20:00,1.0709876543209877,3.73741317974146,52.0,0.2222222222222222,3.4896883868479334,48.55331412103746,0.03302981473560054,0.3230606683508815,0.4146619352553833,0.5598829026833823,0.30173611251369775
rain_20240522.csv,2024-05-22 14:50:00,1.1826584507042253,4.6726166740704045,47.5,0.19982394366197184,3.9509434624071305,40.163751395608486,0.0849890709076248,0.22655870318176063,0.23472296634272494,0.6621080302364835,0.27283053154265735
rain_20240521.csv,2024-05-21 15:10:00,1.0177816901408452,3.6995631138495373,47.5,0.2068661971830986,3.634927951334608,46.67012627573084,0.008273634854621844,0.2568999324052397,0.35800292191580696,0.5828291662722365,0.2677184878155672
rain_20240522.csv,2024-05-22 14:40:00,1.0947136563876652,4.326568619104362,47.0,0.19823788546255505,3.9522377325420135,42.93360160965795,0.044069275895076226,0.2197252435163404,0.23421806212398444,0.6283579647442783,0.25165356119707755
rain_20240522.csv,2024-05-22 15:00:00,1.158590308370044,4.736156262363876,50.5,0.19383259911894274,4.087861108580228,43.58745247148289,0.07379041545222065,0.20074526752632274,0.181310394029093,0.6203909240368805,0.2427009685067577
